,document,topic,gamma
877,87109374,1,0.908701083
878,88348876,1,0.893840725
879,88650022,1,0.87403121
880,89113960,1,0.906387145
881,89139953,1,0.697109378
882,91091328,1,0.750399179
883,91902786,1,0.958250186
884,92287460,1,0.501570606
885,92901443,1,0.942157261
886,93428982,1,0.436831148
887,93682678,1,0.539191801
888,93702811,1,0.89444751
889,93965962,1,0.734621517
890,95249883,1,0.878109265
891,95686522,1,0.983876131
892,95916296,1,0.990049028
893,96266867,1,0.979103622
894,97177840,1,0.992467642
895,33175296,1,0.761555539
896,33220729,1,0.739743574
897,34286210,1,0.521741821
898,34470782,1,0.698394023
899,34882627,1,0.739470757
900,37216618,1,0.606327572
901,37261930,1,0.699931985
902,39049282,1,0.584008409
903,41011770,1,0.7678798
904,41426698,1,0.883578121
905,41688067,1,0.610428627
906,42110299,1,0.726020582
907,42550861,1,0.566429397
908,42680684,1,0.82372815
909,43895027,1,0.75697073
910,43963206,1,0.913787255
911,45163226,1,0.435167198
912,45261236,1,0.902404398
913,45263759,1,0.779509953
914,45341257,1,0.563029912
915,45417602,1,0.642434069
916,46729580,1,0.937564659
917,47013430,1,0.986509764
918,47831663,1,0.887877728
919,48394940,1,0.484025955
920,49590191,1,0.86664683
921,49696295,1,0.827666183
922,50051517,1,0.525112506
923,50254078,1,0.855634857
924,50713517,1,0.846680395
925,52066368,1,0.941002143
926,54605743,1,0.948422217
927,54612509,1,0.935338342
928,55005774,1,0.794506443
929,55202062,1,0.900876484
930,56561107,1,0.913744249
931,56842468,1,0.993216453
932,57997076,1,0.826626152
933,59512165,1,0.710635339
934,60106466,1,0.651635709
935,60465179,1,0.923015421
936,60945840,1,0.908018432
937,61419383,1,0.910126881
938,62352474,1,0.461528875
939,62746548,1,0.864471547
940,62928693,1,0.529660111
941,63272952,1,0.890254084
942,64246363,1,0.951166975
943,64567251,1,0.99185508
944,65380822,1,0.736367484
945,65599635,1,0.950967299
946,65792285,1,0.91598147
947,66250442,1,0.664855759
948,66331102,1,0.990984912
949,66743557,1,0.983416136
950,67203762,1,0.460583275
951,67204113,1,0.773926455
952,67394484,1,0.933850647
953,67823037,1,0.624493478
954,68021400,1,0.99172165
955,68179115,1,0.790990683
956,68473945,1,0.990999453
957,68817908,1,0.77217465
958,69135995,1,0.975979266
959,69410716,1,0.766788964
960,69552551,1,0.98536607
961,69903515,1,0.882528922
962,70561258,1,0.877659977
963,71437814,1,0.992184519
964,71611062,1,0.676104351
965,72427508,1,0.986227975
966,72628568,1,0.975378151
967,72664854,1,0.959830545
968,72670452,1,0.796823121
969,73373223,1,0.913318042
970,73682129,1,0.932213966
971,76588954,1,0.972961061
972,76712799,1,0.952050519
973,76892703,1,0.598021318
974,76973578,1,0.326806448
975,78031001,1,0.842869702
976,78705765,1,0.807542527
977,78838251,1,0.889502478
978,79838966,1,0.912875442
979,82072946,1,0.781085114
980,82689328,1,0.846357038
981,83345220,1,0.877144587
982,84145340,1,0.834260473
983,85713588,1,0.954652515
984,85814289,1,0.310053541
985,86196948,1,0.708027491
986,86770371,1,0.881053736
987,87054379,1,0.852284173
988,87288194,1,0.433994476
989,88733711,1,0.6059152
990,89274816,1,0.774599511
991,89324580,1,0.916239871
992,89890488,1,0.888061793
993,89890788,1,0.931231811
994,90060135,1,0.987433886
995,90631894,1,0.72677931
